No,id,version,lat,lon,°æµµ,Áö¹øÁÖ¼Ò,µµ·Î¸íÁÖ¼Ò
100,723926532,1,35.192186,126.8154991,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1188,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 21
101,723926533,1,35.1922517,126.8157056,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1187,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 27
102,723926534,1,35.1923429,126.8158602,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1186,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 31
103,723926535,1,35.1925261,126.8159874,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1185,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 33
104,723926536,1,35.1924706,126.815559,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1182,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 2-3
105,723926537,1,35.1924023,126.8153956,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1181,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 2-1
106,723926538,1,35.1924333,126.8152746,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1181,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 2-1
107,723926539,1,35.1926832,126.8155871,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1179,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 8
108,723926540,1,35.1928058,126.8156381,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1178,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 10
109,723926541,1,35.1927115,126.8158601,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1183,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 2-5
110,723926542,1,35.1928216,126.8160833,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1193,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 45-2
111,723926543,1,35.1929804,126.8161575,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1194,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 45-3
112,723926544,1,35.1927013,126.8162228,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1191,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø±æ 45-1
113,723926545,1,35.1930048,126.8153881,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1230,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 9
114,723926546,1,35.1931082,126.8154506,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1228,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 11
115,723926547,1,35.1931745,126.8150842,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1232,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 1-23
116,723926548,1,35.1931818,126.8153241,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1228,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î230¹ø¾È±æ 13-3
